Online Post Id,Related Online Post Id,Source Id,Source Name,Online Post,Sentiment Polarity,Sentiment Polarity Intensity,Emotion (6-level),Emotion (8-level),Sarcasm/Irony,Negation,Off-topic,Maltese
1,,SNS-3,Twitter-Malta Independent,Se jsir investiment fil-Pulizija li jridu jħabbtu wiċċhom ma' kull tip ta' sfida #MaltaBudget18,Neutral,Neutral,Happiness,Anticipation,0,0,0,1
2,,SNS-3,Twitter-Malta Independent,Past legislature was crucial to address priorities & put economy on the right track. #MaltaBudget18 will now serve to secure a bright future ,Positive,Very Positive,Happiness,Joy,0,0,0,0
3,,SNS-3,Twitter-Malta Independent,#MaltaBudget18 This is what I call a good budget. All pensioners to get a €2euro weekly rise,Positive,Positive,Happiness,Joy,0,0,0,0
4,,SNS-3,Twitter-Malta Independent,#MaltaBudget18 shows no concrete plan for respect for teachers #GvernBlaPjan #respectteachers @PNmalta,Negative,Very Negative,Disgust,Disgust,0,1,0,0
5,,SNS-3,Twitter-Malta Independent,This is what #Malta can do with a surplus. A budget for everyone. @JosephMuscat_JM #MaltaBudget18,Positive,Very Positive,Happiness,Trust,0,0,0,0
6,,SNS-3,Twitter-Malta Independent,Dear @adriandeliapn kindly follow closely the #Malta Budget 2018. This is where the A+ surplus is going! #MaltaBudget18,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
7,,SNS-3,Twitter-Malta Independent,Minn defiċit ta’ €300m. fl-2012 sa surplus ta’ €100m. fl-2016 (u surplus ieħor fl-2017) … u l-PN b’pariri ta’ Tonio Fenech :) #MaltaBudget18,Neutral,Neutral,Happiness,Joy,0,0,0,1
8,,SNS-3,Twitter-Malta Independent,"Mis-sena d-dieħla il-Gvern se jkun qed jiżra’ siġra f’isem kull tifel u tifla li jitwieldu f’pajjiżna - madwar 4,000 xitel ta’ siġar.",Positive,Positive,Happiness,Joy,0,0,0,1
9,,SNS-3,Twitter-Malta Independent,Works on 2nd fibre optic cable linking Malta to Gozo to start soon... Mentioned in every budget speech but no works yet #gozo #MaltaBudget18,Negative,Negative,Sadness,Sadness,0,1,0,0
10,,SNS-3,Twitter-Malta Independent,Hemm bzonn ta' pjan fuq medda twila ta' snin biex jinqered it-traffiku f'pajjizna.,Negative,Negative,Sadness,Anticipation,0,0,0,1
11,,SNS-3,Twitter-Malta Independent,#MaltaBudget18 Good proposals not enough against growing precariousness and the selling of #Malta 's common good.,Negative,Negative,Sadness,Sadness,0,1,0,0
12,,SNS-3,Twitter-Malta Independent,"Ma sar xejn fuq il-mina bejn Għawdex u Malta, il-Gvern weħel fil-fażi ta’ studji #gvernblapjan",Negative,Very Negative,Anger,Anger,0,1,0,1
13,,SNS-1,Twitter,http://independent.com.mt : TMID Editorial: Budget 2018 - What will Santa bring this year?,Neutral,Neutral,Disgust,Disgust,0,0,0,0
14,,SNS-1,Twitter,"Budget 2018 live on TVM, Radio Malta and http://tvm.com.mt  - https://www.tvm.com.mt/en/news/budget-2018-live-on-tvm-radio-malta-and-tvm-com-mt/ …",Neutral,Neutral,Happiness,Anticipation,0,0,0,0
